FoilID,Total_Grade,printingDay,toKobeday,QCday,toCERNday,R_grade,R_mean[Mohm/sq],R_rms,GoodRatio[%],Max,Min,ratio_mu[CH/JP],ratio_rms[CH/JP],width_grade,width_mean[um],width_rms,pitch_grade,pitch_mean[um],pitch_rms,eta[mm]
SE7_00036,nan,nan,nan,nan,nan,A,1.05,0.18,100,1.92,0.62,nan,nan,A,326.7,20.3,A,425.4,16.8,450.3
SE7_00037,nan,nan,nan,nan,nan,A,1.17,0.2,100,1.98,0.74,nan,nan,B,331,21.6,A,425.3,17.8,450.4
SE7_00038,nan,nan,nan,nan,nan,A,1.23,0.18,100,1.86,0.79,nan,nan,B,331.3,21.2,A,425.4,17.7,450.4
SE7_00039,nan,nan,nan,nan,nan,A,1.17,0.18,100,1.8,0.74,nan,nan,B,330.3,21.1,A,425.4,17.6,450.4
SE7_00040,nan,nan,nan,nan,nan,A,1.04,0.17,100,1.74,0.6,nan,nan,A,325.6,20.6,A,425.5,17.1,450.4
SE7_00041,nan,nan,nan,nan,nan,A,1,0.16,100,1.75,0.67,nan,nan,A,320.4,19.6,A,425.6,16.5,450.4
SE7_00042,nan,nan,nan,nan,nan,A,1.04,0.16,100,1.78,0.71,nan,nan,A,323,20,A,425.6,16.7,450.5
SE7_00043,nan,nan,nan,nan,nan,A,1,0.16,100,1.74,0.65,nan,nan,A,323.3,20.1,A,425.5,16.7,450.4
SE7_00044,nan,nan,nan,nan,nan,A,0.98,0.17,100,1.69,0.58,nan,nan,A,322.9,20.1,A,425.5,16.7,450.4
SE7_00045,nan,nan,nan,nan,nan,A,0.96,0.16,100,1.62,0.58,nan,nan,A,321,19.5,A,425.5,16.2,450.4
SE7_00046,nan,nan,nan,nan,nan,A,1.02,0.15,100,1.73,0.63,nan,nan,A,320.7,19.4,A,425.5,16.3,450.3
SE7_00047,nan,nan,nan,nan,nan,A,0.99,0.17,100,1.72,0.65,nan,nan,A,320.9,19.2,A,425.4,16.2,450.3
SE7_00048,nan,nan,nan,nan,nan,A,1.01,0.17,100,1.68,0.63,nan,nan,A,323.8,19.7,A,425.4,16.5,450.3
SE7_00049,nan,nan,nan,nan,nan,A,1.1,0.22,100,1.94,0.61,nan,nan,A,322,19.4,A,425.5,16.1,450.3
SE7_00050,nan,nan,nan,nan,nan,A,1.05,0.18,100,1.76,0.67,nan,nan,A,323.4,19.5,A,425.5,16.2,450.3
SE7_00051,nan,nan,nan,nan,nan,A,1.04,0.17,100,1.7,0.66,nan,nan,A,321.9,19.4,A,425.5,16.1,450.3
SE7_00052,nan,nan,nan,nan,nan,A,1.05,0.19,100,1.93,0.65,nan,nan,A,323.6,19.7,A,425.5,16.3,450.3
SE7_00053,nan,nan,nan,nan,nan,A,1.02,0.21,99.5,2.76,0.61,nan,nan,A,324.3,20.1,A,425.5,16.4,450.4
SE7_00054,nan,nan,nan,nan,nan,A,0.99,0.16,100,1.78,0.59,nan,nan,A,323.7,19.6,A,425.5,16.2,450.3
SE7_00055,nan,nan,nan,nan,nan,A,1.02,0.18,100,2.01,0.65,nan,nan,A,325,20.3,A,425.5,16.5,-1
SE7_00056,nan,nan,nan,nan,nan,A,1,0.14,100,1.65,0.62,nan,nan,A,324.7,20,A,425.5,16.4,450.3
SE7_00057,nan,nan,nan,nan,nan,A,0.99,0.14,100,1.57,0.64,nan,nan,A,323.6,19.9,A,425.5,16.3,450.4
SE7_00058,nan,nan,nan,nan,nan,A,0.98,0.18,100,1.97,0.62,nan,nan,A,324.4,20.1,A,425.5,16.4,450.4
SE7_00060,nan,nan,nan,nan,nan,A,0.96,0.15,100,1.81,0.61,nan,nan,A,323,19.8,A,425.5,16.2,450.4
SE7_00061,nan,nan,nan,nan,nan,A,1.01,0.18,100,1.89,0.66,nan,nan,A,323.3,19.8,A,425.6,16.3,450.4
SE7_00062,nan,nan,nan,nan,nan,A,1.01,0.17,100,1.76,0.61,nan,nan,A,322.3,19.6,A,425.6,16.1,450.4
SE7_00063,nan,nan,nan,nan,nan,A,1.04,0.18,100,1.89,0.63,nan,nan,A,320.5,19.4,A,425.6,15.9,450.4
SE7_00064,nan,nan,nan,nan,nan,A,1.14,0.19,100,1.78,0.71,nan,nan,A,320.5,19.4,A,425.6,16,450.4
SE7_00065,nan,nan,nan,nan,nan,A,1.01,0.11,100,1.48,0.64,nan,nan,A,322.8,19.4,A,425.4,16.1,450.2
SE7_00066,nan,nan,nan,nan,nan,A,0.98,0.11,100,1.57,0.64,nan,nan,A,322.8,19.5,A,425.4,16.2,450.2
SE7_00067,nan,nan,nan,nan,nan,A,1,0.13,100,1.42,0.61,nan,nan,A,322.9,19.4,A,425.3,16,-1
SE7_00068,nan,nan,nan,nan,nan,A,1,0.14,100,1.55,0.64,nan,nan,A,323.1,19.7,A,425.4,16.1,450.2
SE7_00069,nan,nan,nan,nan,nan,A,1.01,0.13,100,1.46,0.64,nan,nan,A,322.3,19.4,A,425.4,15.9,450.2
SE7_00070,nan,nan,nan,nan,nan,A,1.09,0.17,100,1.76,0.68,nan,nan,A,321.8,19.4,A,425.4,15.8,450.2
SE7_00071,nan,nan,nan,nan,nan,A,1.07,0.19,100,1.74,0.61,nan,nan,A,322.7,19.8,A,425.4,16,450.2
SE7_00072,nan,nan,nan,nan,nan,A,1.06,0.15,100,1.79,0.72,nan,nan,A,321.8,19.4,A,425.4,15.9,450.3
